TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,-9999,21.9,N/A,30.36,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 5:51
1:51 AM,28.9,23,78,30.35,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 6:51
2:51 AM,28,24.1,85,30.35,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 7:51
3:51 AM,27,23,85,30.32,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 8:51
4:51 AM,27,21.9,81,30.32,9,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 9:51
5:51 AM,25,21,85,30.33,9,SW,3.5,-,N/A,,Partly Cloudy,230,1/01/2015 10:51
6:51 AM,-9999,19.9,84,30.33,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 11:51
7:51 AM,26.1,21,81,30.35,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 12:51
8:51 AM,30,25,82,30.35,10,Calm,Calm,-,N/A,,Scattered Clouds,0,1/01/2015 13:51
9:51 AM,36,25,64,30.36,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/01/2015 14:51
10:51 AM,42.1,21,43,30.35,10,SW,3.5,-,N/A,,Partly Cloudy,230,1/01/2015 15:51
11:51 AM,45,27,49,30.31,10,SW,9.2,-,N/A,,Partly Cloudy,230,1/01/2015 16:51
12:51 PM,48.9,26.1,N/A,30.28,10,West,10.4,-,N/A,,Partly Cloudy,260,1/01/2015 17:51
1:51 PM,50,28.9,44,30.25,10,SW,10.4,-,N/A,,Partly Cloudy,230,1/01/2015 18:51
2:51 PM,51.1,30,44,30.22,10,SW,10.4,-,N/A,,Scattered Clouds,220,1/01/2015 19:51
3:51 PM,50,30.9,48,30.23,10,SW,12.7,-,N/A,,Scattered Clouds,230,1/01/2015 20:51
4:51 PM,48.9,32,52,30.22,10,SW,9.2,-,N/A,,Scattered Clouds,220,1/01/2015 21:51
5:51 PM,43,30.9,62,30.22,10,SSW,5.8,-,N/A,,Scattered Clouds,200,1/01/2015 22:51
6:51 PM,41,30,65,30.24,10,SW,4.6,-,N/A,,Scattered Clouds,220,1/01/2015 23:51
7:51 PM,43,32,65,30.22,10,SSW,6.9,-,N/A,,Mostly Cloudy,210,2/01/2015 0:51
8:51 PM,41,32,70,30.23,10,SW,5.8,-,N/A,,Mostly Cloudy,230,2/01/2015 1:51
9:51 PM,42.1,33.1,70,30.23,10,SW,6.9,-,N/A,,Mostly Cloudy,230,2/01/2015 2:51
10:51 PM,42.1,33.1,70,30.24,10,SW,5.8,-,N/A,,Mostly Cloudy,220,2/01/2015 3:51
11:51 PM,42.1,34,73,30.24,10,SW,5.8,-,N/A,,Mostly Cloudy,230,2/01/2015 4:51
